Tijdstempel;LED forgive vs. forget;HED endurance vs. strength;LED car vs. cab;FIL crime vs. violation;HED sorrow vs. shame;FIL apparent vs. obvious;HED imitate vs. portray;FIL keep vs. possess;LED greet vs. meet;LED clothes vs. closet;HED flu vs. fever;FIL decide vs. choose;HED declare vs. announce;LED communication vs. conversation;HED confident vs. sure;FIL movie vs. film;FIL clothes vs. button;FIL effort vs. difficulty;LED remain vs. retain;LED boundary vs. border;HED river vs. stream;FIL attorney vs. lawyer;LED day vs. dawn;HED attitude vs. confidence;FIL please vs. entertain;HED behave vs. obey;LED unnecessary vs. necessary;HED belief vs. opinion;LED clothes vs. cloth;FIL require vs. inquire
2020/02/13 7:23:51 p.m. CET;2;3;2;4;3;5;2;3;3;1;4;6;3;2;2;5;1;3;1;6;2;8;1;2;2;2;1;5;2;2
2020/02/13 7:25:11 p.m. CET;1;4;6;6;8;8;4;2;3;1;6;2;1;6;3;10;1;2;8;8;1;9;2;8;2;2;1;1;10;2
2020/02/14 11:44:25 a.m. CET;3;2;6;4;2;3;5;4;1;2;1;3;2;1;1;8;1;1;2;2;6;4;1;5;3;5;3;3;5;3
2020/02/14 11:47:31 a.m. CET;4;2;4;6;5;3;6;2;6;2;7;6;6;5;7;9;4;2;4;6;3;8;4;2;3;7;7;9;4;5
2020/02/14 12:05:25 p.m. CET;8;6;9;6;6;9;8;7;5;6;6;8;8;6;6;9;5;5;6;6;8;8;5;5;5;4;5;7;7;5
2020/02/14 2:43:28 p.m. CET;5;8;3;4;2;8;1;6;4;2;9;7;6;6;3;9;1;2;7;10;6;8;2;3;5;3;1;8;5;1
2020/02/14 2:53:48 p.m. CET;7;3;5;2;2;3;3;1;9;5;2;1;3;4;1;1;2;4;9;4;1;4;3;2;1;2;9;2;6;6
2020/02/14 2:56:45 p.m. CET;6;8;10;6;2;8;6;4;7;1;9;7;8;2;8;10;1;3;7;7;8;9;4;3;3;7;2;8;3;6
2020/02/14 3:26:10 p.m. CET;5;6;7;5;3;8;4;9;6;4;2;5;5;6;5;9;1;2;3;8;6;8;3;2;2;4;1;6;4;2
2020/02/14 9:19:18 p.m. CET;1;5;1;5;1;5;5;2;2;2;1;1;1;9;4;9;1;1;1;4;1;1;1;1;1;1;1;1;10;2
2020/02/15 6:02:07 p.m. CET;1;3;2;7;2;4;3;6;3;5;9;7;8;6;3;10;1;2;4;2;8;10;3;4;6;2;3;6;5;3
2020/02/16 1:56:41 p.m. CET;8;5;7;6;8;9;6;6;9;6;3;8;7;6;6;10;5;5;7;10;7;7;4;5;5;8;1;6;4;4
2020/02/16 5:34:05 p.m. CET;1;6;2;4;1;7;3;4;2;1;6;8;9;7;7;10;1;2;6;9;2;7;2;5;2;2;1;2;3;2
