low competence vs. ability,fill area vs. zone,low bad vs. great,high neck vs. spine,high bone vs. knee,low pretend vs. imagine,high arm vs. neck,high apple vs. juice,high bird vs. hawk,high jar vs. bottle,fill elastic vs. flexible,fill lens vs. camera,low wisdom vs. intelligence,fill assignment vs. task,high bread vs. flour,fill man vs. child,high bed vs. blanket,low difficult vs. simple,low way vs. manner,fill guy vs. stud,high toe vs. finger,low necessary vs. important,fill take vs. carry,fill alley vs. bowl,high arm vs. knee,high tongue vs. throat,low forgive vs. forget,low capability vs. competence,low certain vs. sure,low know vs. comprehend,low belief vs. opinion,low great vs. awful,low pretend vs. seem,low unnecessary vs. necessary,high water vs. salt,fill noise vs. rattle,low conclude vs. decide,high bone vs. neck,high bird vs. hen,high ball vs. glove,low assume vs. pretend,fill molecule vs. atom,fill arm vs. vein,high bird vs. turkey,fill happy vs. angry,fill crowd vs. bunch,low explain vs. prove,high water vs. ice,high spoon vs. cup,low reality vs. fantasy,fill goal vs. quest,fill imitate vs. portray,fill enjoy vs. entertain,fill meal vs. dinner,fill anatomy vs. biology,fill disappear vs. shrink,high apple vs. lemon,high bone vs. teeth,fill metal vs. aluminum,low assume vs. predict
1,7,1,3,3,1,1,1,3,1,1,1,1,9,1,1,1,1,7,1,1,1,1,1,1,1,1,3,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,1,1,1,1,1,1
7,8,1,6,4,4,2,3,6,8,6,5,7,8,3,4,3,2,7,2,6,6,5,1,3,3,4,7,8,6,4,1,6,3,2,2,3,3,4,1,4,2,1,3,1,3,2,7,2,2,5,3,5,4,3,2,4,2,6,2
7,3,2,4,6,3,1,3,6,1,2,2,1,3,4,2,4,5,5,2,1,6,1,1,1,3,2,5,6,3,6,1,1,1,1,4,5,4,4,1,2,3,1,4,1,5,5,7,2,1,2,3,6,4,4,1,1,1,1,1
7,10,2,8,5,4,2,4,5,8,9,8,4,8,6,4,6,3,7,5,5,4,6,1,3,4,6,8,9,4,5,2,4,5,2,8,7,4,7,1,4,8,3,7,4,5,4,7,6,5,5,7,5,8,6,5,6,7,7,4
9,9,1,1,1,1,1,1,9,3,5,2,5,10,1,1,1,1,1,5,1,5,3,1,1,1,1,9,10,7,7,1,3,1,1,7,5,1,8,1,2,1,1,7,1,6,1,1,1,1,1,9,3,10,7,1,1,1,1,1
5,2,1,1,7,3,1,1,3,1,8,3,6,8,2,1,1,1,4,1,8,5,4,1,1,2,4,8,10,9,3,1,4,1,1,3,7,1,2,4,5,3,2,1,1,3,7,5,4,1,5,3,3,6,2,4,1,2,9,4
8,9,1,6,2,2,1,2,7,9,6,5,7,8,3,1,2,1,4,3,5,6,2,1,1,2,1,10,10,8,6,1,4,1,1,5,7,3,7,1,6,2,1,7,1,9,8,7,1,1,4,4,5,7,5,8,1,5,5,6
8,6,3,6,4,7,6,4,8,9,9,7,6,8,5,6,7,3,9,7,7,8,6,6,4,4,7,8,10,7,4,5,6,6,5,8,7,6,3,2,4,8,2,7,5,6,8,7,5,6,1,8,7,10,9,7,2,8,8,6
10,7,2,7,6,8,6,6,8,8,10,3,9,6,3,3,4,2,2,4,4,4,1,1,5,6,4,7,7,5,3,2,3,6,1,2,3,5,4,1,4,7,1,4,5,1,3,3,3,7,2,2,5,3,8,2,2,3,3,2
7,10,1,8,7,7,2,1,4,5,6,4,4,7,4,1,1,1,8,1,1,6,1,1,1,2,1,6,10,7,6,1,3,1,1,1,5,2,6,1,1,1,1,4,1,4,6,7,1,1,2,6,1,5,4,1,2,1,4,4
